id,pno,sku_id,item_sku_key,item_pic,ad_channel,ad_report_mark,mark_type,mark_type_desc,handle_status,handle_status_desc,mark_time,latest_seven_cost,total_users,total_purchase,total_cost,total_exist_days,deleted,create_time,update_time,operator_name,operator_user_id,total_gmv,total_impression,imp_per_purchase,avg_daily_impression,impressions_per_add_cart,impressions_per_detail_view,latest_seven_impression,latest_seven_gmv,latest_seven_purchase,status,availability,forbid_handle_time
1,XXX023671238N,null,XXX023671238N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/07/15/57-t-980ab02f-87d0-428c-a0fc-bd9f4f8f3a44.jpg,facebook,bad-with-trans:top,01,机器,02,未处理,2022-11-10 00:00:00,23.15,16536,285,12721.39,96,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,XXX022854922N,null,XXX022854922N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/05/23/d301b9c6-4f63-4d4f-b710-d68ba9117ff3.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-11-10 00:00:00,0.23,190,0,37.05,111,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,XXX022606603N,null,XXX022606603N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/03/02/53ab3a21-9d93-4d22-97fa-ef0c0e7fb3bb.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-11-10 00:00:00,0.00,284,0,64.17,32,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,XXX021670925N,null,XXX021670925N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/10/f31e6c8d-3072-4b9b-88cd-1ad9484e183a.jpg,facebook,bad-low-site-usage,01,机器,01,已处理,2022-11-10 00:00:00,0.00,133,0,7.45,95,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,XXX021665760N,null,XXX021665760N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/10/14311b44-cdfa-4da1-bf4d-afa8fb16f464.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-10-09 00:00:00,2.68,42,0,49.21,84,0,2022-09-29 13:05:20,2022-10-10 05:58:19,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,XXX021653970N,null,XXX021653970N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/09/15645e31-65e5-4184-9731-49b6f160d537.jpg,facebook,bad-with-trans:tail,01,机器,01,已处理,2022-10-20 00:00:00,317.98,4294,34,1647.22,88,0,2022-09-29 13:05:20,2022-10-21 02:11:27,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,XXX000500568N,null,XXX000500568N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/11/cb30d16d-7ec2-4486-b0ba-aef80ac882d6.jpg,facebook,bad-with-trans:middle,01,机器,01,已处理,2022-10-17 00:00:00,0.00,813,6,2055.67,65,0,2022-09-29 13:05:20,2022-10-18 07:07:29,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,WWB023452599N,null,WWB023452599N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/07/06/53-t-e2ff1dfd-766d-43c7-81f6-8051de0468f6.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-10-17 00:00:00,2.3,40,0,84.47,84,0,2022-09-29 13:05:20,2022-10-18 02:10:26,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,WSS021499129N,null,WSS021499129N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/10/ba51eb66-978c-4a81-980c-57061b1a5b7d.jpg,facebook,bad-with-trans:tail,01,机器,01,已处理,2022-10-17 00:00:00,28.3,930,12,631.83,91,0,2022-09-29 13:05:20,2022-10-18 07:07:46,null,null,null,null,null,null,null,null,null,null,null,null,null,null
15,WDR017833401N,null,WDR017833401N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/11/b3e64ced-7e32-4953-9c00-56d4ae356cc4.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-11-10 00:00:00,0.00,19,0,13.06,111,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
16,WDR016955511N,null,WDR016955511N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/08/a768cfbf-952f-4dd1-a46b-9867003d1214.jpg,facebook,bad-with-trans:top,01,机器,02,未处理,2022-11-10 00:00:00,0.00,2597,10,561.54,14,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
17,WDR016920087N,null,WDR016920087N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/03/10/3f2ae249-52c6-4c7d-bc3f-d7bcc2b30d02.jpg,facebook,bad-with-trans:tail,01,机器,01,已处理,2022-10-17 00:00:00,0.00,2196,6,548.02,32,0,2022-09-29 13:05:20,2022-10-18 07:07:46,null,null,null,null,null,null,null,null,null,null,null,null,null,null
18,WDR016651447N,null,WDR016651447N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/08/1e59d9f8-8881-4ad9-a1ff-88e76b619c38.jpg,facebook,bad-with-trans:middle,01,机器,01,已处理,2022-10-21 00:00:00,36.74,13899,132,3834.31,96,0,2022-09-29 13:05:20,2022-10-22 02:03:44,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23,TIT023268406N,null,TIT023268406N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/07/01/26-t-35451942-8a26-47b3-9f4a-8d5e9915f95e.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-10-17 00:00:00,0.00,44,0,77.03,24,0,2022-09-29 13:05:20,2022-10-18 02:10:26,null,null,null,null,null,null,null,null,null,null,null,null,null,null
24,THP022545193N,null,THP022545193N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/02/21/d657d927-bdb9-4bff-9512-87ecb263c92f.jpg,facebook,bad-low-site-usage,01,机器,01,已处理,2022-11-10 00:00:00,0.01,39,0,6.32,111,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
25,TET022464069N,null,TET022464069N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/01/24/34aa0a91-61d4-4229-9908-958f525709f2.jpg,facebook,bad-with-trans:tail,01,机器,01,已处理,2022-10-17 00:00:00,181.97,1235,19,1272.78,92,0,2022-09-29 13:05:20,2022-10-18 07:07:46,null,null,null,null,null,null,null,null,null,null,null,null,null,null
26,TET018051071N,null,TET018051071N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/12/a563a201-85d6-43c3-9fb0-cef20626153f.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-10-17 00:00:00,0.14,18,0,3.49,87,0,2022-09-29 13:05:20,2022-10-18 02:10:26,null,null,null,null,null,null,null,null,null,null,null,null,null,null
27,TER022849147N,null,TER022849147N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/05/19/fbc250b1-d639-45f4-8b5e-d657e4ebf705.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-10-17 00:00:00,0.00,36,0,69.44,34,0,2022-09-29 13:05:20,2022-10-18 02:10:26,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28,TDO022787495N,null,TDO022787495N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/11/13b7bb2a-09f2-4d54-9bea-4f46c192dad5.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-10-17 00:00:00,0.92,105,0,33.33,92,0,2022-09-29 13:05:20,2022-10-18 02:10:26,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29,SYF022114928N,null,SYF022114928N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/09/696eaace-54fe-4ce3-8501-39114b75f8d6.jpg,facebook,bad-no-trans,01,机器,01,已处理,2022-11-10 00:00:00,0.00,164,0,10.78,27,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31,SWS024324646N,null,SWS024324646N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/09/05/18-t-75b1ba20-4a1b-48db-a319-19d8c1060459.jpg,facebook,bad-with-trans:middle,01,机器,01,已处理,2022-11-10 00:00:00,0.00,631,9,351.84,19,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32,SWS022606124N,null,SWS022606124N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2022/03/02/3b30a1a5-9a63-4408-9311-8cb073429e0e.jpg,facebook,bad-with-trans:tail,01,机器,01,已处理,2022-10-17 00:00:00,33.07,1443,11,471.09,78,0,2022-09-29 13:05:20,2022-10-18 07:07:46,null,null,null,null,null,null,null,null,null,null,null,null,null,null
34,SWS022073030N,null,SWS022073030N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/10/c55c7771-2a7a-4348-bf9f-8b212f1be2e8.jpg,facebook,bad-with-trans:middle,01,机器,01,已处理,2022-11-10 00:00:00,0.00,7207,71,2741.9,80,0,2022-09-29 13:05:20,2022-11-11 02:03:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35,SWS022055081N,null,SWS022055081N,https://multimedia-image.s3.us-west-2.amazonaws.com/product-center-main/2021/12/09/05b8264c-4c63-461a-a475-4c8e716d1165.jpg,facebook,bad-with-trans:top,01,机器,02,未处理,2022-09-28 00:00:00,1706.75,24707,308,14533.56,73,0,2022-09-29 13:05:20,2022-09-29 13:05:20,null,null,null,null,null,null,null,null,null,null,null,null,null,null
