id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
42965,WLS021937042N,null,WLS021937042N,facebook,bad-with-trans:middle,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42966,WLS021771301N,null,WLS021771301N,facebook,bad-with-trans:top,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42967,WLC016922611N,null,WLC016922611N,facebook,bad-with-trans:tail,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42968,WDR023949399N,null,WDR023949399N,facebook,bad-with-trans:middle,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42969,WDR023741290N,null,WDR023741290N,facebook,bad-with-trans:top,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42970,WDR021936662N,null,WDR021936662N,facebook,bad-with-trans:tail,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42971,WDR020997486N,null,WDR020997486N,facebook,bad-no-trans,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42972,WDR020990957N,null,WDR020990957N,facebook,bad-no-trans,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42973,WDR020986280N,null,WDR020986280N,facebook,bad-no-trans,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42974,WDR018400705N,null,WDR018400705N,facebook,bad-no-trans,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
42975,WDR016955511N,null,WDR016955511N,facebook,bad-with-trans:top,01,机器,2022-10-16 00:00:00,0,2022-10-17 02:08:04,2022-10-17 02:08:04,null,null
